id,name
9007T8yZEnNhi1Q4UMJE,"Puff Puff"
99j8iGTj0ukfm9idWZNG,"Garba"
9ISzylFmP4TaexdAeqnX,"Vetkoek"
9LMRmwiQpQv9ldvA46NK,"Spaghetti Jollof"
9TBPwllIsmu8sDsOZPUi,"Ravitoto"
9aS8h9W86SyDlS5rTEZO,"Makroud (Semolina Date Cookies)"
9kIOG7V4PRKEjLN9XLur,"Shiro Wat"
9vvKXV4kiSWcdfeMwITN,"Piri Piri Prawns"
ABHM6RXJ7Hf44PBx6KNR,"Dundun (Fried Yam)"
AE5IGgZfxOeYZaQAh2hC,"Ewedu Soup"
AWmPWFXXOiPk2G8muA9a,"Plantain Porridge"
AY7sPgsv78YXlSfOHyUo,"Waakye (Rice and Beans)"
AbMBSxxh4glgf0EcjjQI,"Jollof Rice"
AlTViEyZFhaYDaCuZd6y,"Chin Chin"
AuLSGUGlBY7Vz8RkIbCc,"Ful Medames and Bread"
AyYV7AWGyTwMsIEikDC3,"Muboora (Pumpkin Leaves)"
Bh6b2qE4llZzZoCxMkeP,"Brochettes (Rwandan)"
BkbtBKC0ij5dx5bnjXxu,"Rechta"
BxUWoeuYUbqxQzklsdgh,"Mechoui (Roast Lamb)"
C2zz9NX3TWuDzNLPYDCO,"Mahindi Choma (Roasted Corn)"
CDlg21vVdAR12FBjFF9m,"Soya (Cameroonian Suya)"
CVfBTelriEDbKXzl6oOK,"Funge"
CYj6KAuqXiDoB1o52ig6,"Githeri"
CaW9Br9r9uHi5NSlKRUs,"Matapa"
CdmXRovPoPb3aDyK1XbC,"Caldou"
CnW9kzXMhQBZ27zLgUpX,"Wasawasa"
CooB7rOusOP6Af2VuZz8,"Fah-fah"
CtCikI5ExVuslVAvJ5Ab,"Braai (South African BBQ)"
DZFVmUdD8ACpdY3xJSPb,"Klui-Klui (Peanut Sticks)"
DZOUNYOkWykpbQuCWc9R,"Chipsi Mayai (Chips Mayai)"
DakBLyAcsTZ1p4t1kXoZ,"Bofrot (Ghanaian Doughnut)"
DjyMW4nffWLcio78Zrhc,"Poulet DG (Director General Chicken)"
Dw5Q68WYttz3B56QixeO,"Miyan Kuka (Baobab Soup)"
EA8Svv13uFCNRVKcfPtF,"Fataya (Senegalese Pastry)"
EFsaSrypa2YJKZlySXr7,"Brik à l'Oeuf"
EKKYEiEqXqsJNjz5zyPp,"Cereal and Milk (Nigerian Style)"
ElUOkWxrvMz93b9ED0bX,"Agege Bread and Ewa Agoyin"
EvVl0ZRjjZSraIhGhjYz,"Rice and Beans (Nigerian)"
F1UIMaNTDVZkCmhesOiR,"Pap en Vleis"
FArK8jmap6pdWEWAEFlT,"Kilishi"
FHyI4ozgn41oGkhzXu1E,"Pap (Ogi / Akamu)"
FqqDkSkbzUP5oYX8o7xk,"Nyembwe Chicken"
G24jZU11tARhkphMhRa8,"Riz au Gras (Guinea)"
G2VN9HFMatpI0b20EcrQ,"Sishwala"
GB5HFBWnKtzVMowpUPbZ,"Brochettes (Rwandan Meat Skewers)"
GL4I7LKdIvLrzOO8E6LL,"Fataya (Senegalese Meat Pie)"
GM5JUlScWeb7FcvJVNvV,"Mutura (Kenyan Sausage)"
Ga0Yq7u8V764lVApPaNw,"Fufu and Pondu"
GibUFH8Qmwy7gmA1H1RD,"Pounded Yam"
Gl2nRGWQa9l6C0WQcinH,"Chapman"
HJIKqSeuSvx80HrSJHEc,"Couscous and Lamb Tagine"
HJzEoVMFTnhKf95KAdHG,"Kilishi"
HUVKtrpN5kDLu0ysVifi,"Maghrebi mint tea"
HY5GuJPXa0BH2qJ0fV2X,"Mwambe (Palm Butter Sauce)"
HhJWA5H6OAPivxZela0F,"Maakouda (Potato Fritters)"
Hn5OTVTlawIkngFECgHd,"Isi Ewu (Goat Head)"
I2Iq0beeAP7xWdyRaXXs,"Ndolé"
IPsfmJopqPukhZvDuloq,"Shiro Wot"
IjlHKa8exrExjm3pTsVo,"Yam and Egg Sauce"
Imt3ziJaVg50pDie7pqI,"Okpa"
JOo8xJDbH5uhcUyp8GSz,"Romazava"
JcTd5Ox3fHtVGxkOWB5M,"Tibs (Sautéed Meat)"
JpU5QyrgZiKlPxgAcNJ3,"Kenkey and Fried Fish"
JtWpu7yN3nvR8WK64uUu,"Kikomando"
JvaoPX5yaylKNZI3auwo,"Attiéké and Fried Fish"
JxeEnt5kfbFVLbqjSvVc,"Gizdodo"
KFeHOAWxod9cma5apKOh,"Pastilla (B'stilla)"
KKpZsz2bqlFjstQqhEeY,"Jollof Rice (Ghana)"
KUXMCnTv4tjHuEm6b83r,"Samosa (Kenyan)"
KvtiDJceHE6J7VEVN7k6,"Romazava"
L0UQuWk0g3qzaQemJdGQ,"Pepper Soup"
L4C4Hn7yaBi3SEmdCnKD,"Taameya (Egyptian Falafel)"
LgoD2ArIIDVf8vAmrqSX,"Thiéboudienne (Mauritania)"
Ls3srOAPKMSrGbRoJZpV,"Msemen and Mint Tea"
M3LzPoHyivxm5ILIunIE,"Boule (Millet Ball)"
MBQiTU2g7Sk0GZwSBJ3l,"Puff Puff (Cameroonian)"
ME2o7OewbUByxbVj7N7E,"Bunny Chow"
MF8FlZJTvsJSsWVhRAzM,"Amiwo"
MHgfjh6eVhPAVpntMDte,"Dibi (Grilled Lamb)"
MJ5Vk3ayOfAixcWA5kkJ,"Peppered Gizzard"
MdyC4lodbGGt7TgqlYMq,"Couscous Royale"
MidojtHpJ0zxFz0UfWPn,"Fisherman Soup"
Mys8UO8wi0ofSxTOwYCf,"Vitumbuwa (Zambian Fritters)"
N1ipzAFH9dhx3z04zzkH,"Gatsby Sandwich"
NFeqoI7AoQPguqMvxfIv,"Dumboy (Liberian Fufu)"
NdLSI9LWJvu3WNQvdD1m,"Katogo"
NpJeOSY0heM35tc5Sg30,"Ugali na Nyama"
OQSoI6n9RJudjOvDJUVY,"Nshima with Ifisashi"
OSRlr8ipDGvixm5a8w0C,"Bread and Egg (Nigerian)"
OslneX8sSy30WLkMV7JL,"Wali na Maharage"
P0rQeiddibdLsxEJyrlA,"Luwombo (Banana Leaf Stew)"
P6v7bnEGrhxAxtJkobRo,"Mbika (Pumpkin Seed Stew)"
PLh7suzhCKnWLHE8iFXa,"Fufu & Peanut Soup (Togo)"
PRWmr4s2xudjEW8zDvVZ,"Tuwo Shinkafa"
PeCGnE7rLEzehucCMFol,"Ndizi Nyama (Plantain & Meat)"
Q10KoZOXN43xLCxtYLut,"Pâte Noire & Sauce Gombo"
Q1QT9OKouqesGMVEEmvu,"Ful Medames"
QFbeLOZz4Er63q85t3zu,"Cachupa"
QWlLdpAOKUF8bIv7ZSYB,"Lahoh"
QWmPW2XES5HSRdbyMDIx,"Tô (Millet Porridge)"
QYZlnkLBmFftNq8o63om,"Smen"
QgzZHrO2krWUF2Fk2NOR,"Kat Kat Banane"
QhLBN0mqa2HOhobotOkq,"Nkwobi"
QqS8Daa9llDgHjVgbvtY,"Akara (Bean Cakes)"
R244M5gqCrP6tXrk1g5U,"Merguez"
RQfdTXZN6yBJXC8tdMcl,"Puff Puff"
RZ1SASBdyx8C1tuzSpWd,"Eru Soup"
Rdc3IIgHQrcq4eEgNEMG,"Thiéboudienne (Rice and Fish)"
RfDLxANZQkULHtaZq9kB,"Nyama Choma (Roast Meat)"
RgCWN4paLPtELdQC9BUB,"Riz Gras (Burkina)"
RgfgMMbSpgopm0Y6ay6c,"Amala"
S90yZKc4ABZNGFSny9fo,"Fufu (Congolese)"
SEYreX1Ci2HdWSimkIgK,"Rfissa"
SJf6ggdlUmxwygHSkyRu,"Chicken Tagine with Preserved Lemons & Olives"
SXMBza7KvcfG41CNPv8i,"Fouti (Fonio Porridge)"
SxlG7U2RiQJKaS9eVSgU,"Ful Medames (Sudan)"
TKIY7gIMMta36Fswunp2,"Mafé (Peanut Stew)"
TZnCV91UXNksKAsGE66E,"Kunu (Millet Drink)"
Tjoyi6opPOgPwIG4Kp4Y,"Ful Medames"
TnGXe6yZojOQoSOB9p7O,"Ekpang Nkukwo"
ToYru7fvF2UaDfeSHhRe,"Bogobe (Sorghum Porridge)"
U0h3sGUXPUnbSXvalYJr,"Dambu Nama (Shredded Meat)"
UHPPXMieTTcLA39Sqxgs,"Mahshi (Stuffed Vegetables)"
URqrswWPLRZnkNwkgKui,"Koklo Meme (Grilled Chicken)"
USlHp2DXsH36APbH1jmn,"Eba and Egusi Soup"
UYEhY7y4G6A2INW7nq6n,"Taktouka"
Ugm7irxuiNSajeio7YZ7,"Ofe Onugbu (Bitter Leaf Soup)"
V9h6IQKfKnmZ6lViQfRr,"Akara (Bean Cakes)"
VVYNz8xoP88n2nUROHrz,"Ugali & Sukuma Wiki"
VedComer6swUx5gvTEmu,"Pondu (Saka Saka)"
VfQMeSUVLaG5RXknC189,"Chapati (Kenyan)"
Vk7MV5lFibALrno8lRUb,"Babenda"
Vm8WhLa7KjpiNcOBLDPF,"Mikate (Congolese Doughnuts)"
VmecDaHSlRwBoMTV0Jij,"Fufu & Light Soup"
W4FI3VAjI5A80Hzw7Djc,"Calulu São-tomense"
WZu82lvKYCMtag0KZgnf,"Ethiopian Coffee Ceremony"
WaIyCHndcGlO0LSpyQqv,"Gatsby"
WrSvTe1dQx9SfQdaEvyi,"Jollof Rice (Ghanaian)"
WyYqonr8ZFfQYDUUmQKl,"Kanda (Meatballs in Sauce)"
WzUMnGZDdn8ImL9zxaVN,"Cassava Leaf Stew"
XEhlZ3Vd8F2OKsDu5vp2,"Koki Beans"
XP4bUEbmfpOzBhdPFE5W,"Domoda (Gambian Peanut Stew)"
XyfR0WfF7N1y0hZNic83,"Samosa (Kenyan)"
Y4bpjAzKS24xXijwZxTg,"Fufu and Light Soup"
YAemncN9Cp1P0qdo2aOK,"White Rice and Stew"
YLL6Sof4G7xOY3Wvjyyy,"Dambou (Niger)"
YPZMoKBN4hqVjOiE1iyY,"Indomie Jollof"
YTL4hKhTZxTqUqzqBJ9L,"Beyaynetu (Ethiopian Fasting Platter)"
Yfig1dkJfWLnCU0YTHPk,"Hawawshi"
YmXUATOHA3Pj7ZiyDXNp,"Kushari"
Z8mYRWIx1lZV5hvfDRCk,"Dan Wake"
ZCtMgcJX5mZ22alk5raW,"Egusi Soup"
ZnuwZLfl8EwkNIQiyLuO,"Dovi (Peanut Butter Stew)"
ZpNpa9EuKTnTwKXLzkFe,"Ewa Agoyin (Mashed Beans)"
ZqAL80w2lwJuituWdepO,"Bariis Iskukaris (Somali Spiced Rice)"
a5FzhOL4cLFLu4JWcYcI,"Koeksister"
a6kqCkBtsbre1igV3bBN,"Succotash de Mariscos"
a9p1mWV663M6jQZcDmnj,"Masa (Waina)"
aFgcXO5TYYdfmmozXUjz,"Ofe Oha"
aSwyWtZvVlqkj0J7FP8e,"Matoke (Steamed Green Banana)"
aTcBbURUIGez7byusa1F,"Tigadèguèna (Mali Peanut Stew)"
aXzCzgRQJuvTXzfpKQKP,"Zobo (Hibiscus Drink)"
aahF7PbgQeKhrz0Tegye,"Beans and Plantain"
acwRMb0AyEMTLWr3yPiX,"Makala (Congolese Doughnut)"
aktqWOzjzzrKvljrcMhH,"Bâton de Manioc"
am7Uv5eUu8i7lHroec8H,"Moroccan Mint Tea"
aoIuUWtKI7KOYQT6cJT5,"Matapa"
bBEpu8sOvelQnhnB1UQa,"Couscous Tunisien"
bcJreidGkqwTNSGWkJi1,"Moi Moi and Custard/Pap"
bmW8bBxNl9Y0eAMTFtAN,"Café Touba"
c1JxyvsiFZmwUsSIJNPT,"Umm Ali (Egyptian Bread Pudding)"
cR37EK1zb3tiGNgXQYgF,"Efo Riro"
cWbvSJaqYPsxMjGmL2gj,"Nshima, Kapenta and Chibwabwa"
cf5Xk28rkVpeL25IbOzz,"Garba (Attiéké with Tuna)"
ctBQ51T45tmZ5r5CFXdY,"Biltong"
cvPuijpC5IZ6f2TVFnZS,"Fried Rice (Nigerian)"
daapXh4PmbpoSA1lBXO5,"Harira"
dnjVw0RjPXhUDykdqtAK,"Injera with Doro Wat"
drsfsb17zNmrK1pfDWXw,"Muamba de Galinha"
dzv5sT6JP1Y5J538noZS,"Rolex (Rolled Eggs)"
eDKFlBzWvLcCjBnjSSvF,"Shawarma (Egyptian Style)"
eQOkWb55xwulR70IXjnr,"Bole (Roasted Plantain)"
eReZMMtMw0Rdpg4cGvYV,"Mishkaki"
eSoYfWPmtGwK3HRtbRLD,"Coconut Rice"
eWBFmL81wxAe7heLhlwr,"Banku & Tilapia"
es189eBL7HiyrtK6Hn9M,"Vary amin'anana (Rice and Greens)"
ey7opiUiSVf1u8Ck7E2y,"Dodo (Fried Plantain)"
fIgnAQ3NwQHGLjW5pzhr,"Makande (Maize and Beans)"
fTSE3EkUru4v1ossDGLT,"Achu Soup and Fufu (Yellow Soup)"
fUrCaO3sas6h4FGZbOaX,"Cambuulo (Adzuki Bean Dessert)"
fVg4tPzPUkEQ3HWJyfAw,"Yassa Poulet"
fYt87eSZ8J1yCnECsSib,"Nsima with Chambo"
fglM1eMEnzGZtBqFSBt6,"Tajine Zitoun"
flNOxHQtPA8B9ckTmJD3,"Couscous Algérois"
gHhYouqL7YgxyG9DXiJ4,"Chipsi Mayai (Chips Omelette)"
gIMrqWmOVdyniPNkr2qy,"Posho and Beans"
gQkL7qwERw5OvaxNoBO8,"Fufu and Pondu"
gbNH5c2pATE3y8gezyng,"Yam Porridge (Asaro)"
gjFHMR898eEcnAYtxRnV,"Nshima and Ifisashi"
gsslh8ZUFCKvhzgYC2QZ,"Chakalaka"
hGiE01stTDhbMr3WIfqD,"Zanzibar Pilau"
hPVBCVCHVqgvIP4JcjfK,"Pepesoup (Equatoguinean)"
hwiHpGpDoLJ8iDQ5ARRb,"Sadza and Muriwo ne Nyama"
i0Wcx7UzbrzBL6spih8Z,"Afang Soup"
i36rDS0bZXe2OafxlBGW,"Gbegiri Soup"
iEOd81QE33iDpYIReKTh,"Waakye"
iLiygfzWqEUVObwla9b0,"Yassa Chicken"
iNMtDdSduSBx31blPlAI,"Seswaa"
iXicckAbbEXUfL8sKPR8,"Malva Pudding"
igI3pgcU5jdG55zyNpt3,"Alloco (Fried Plantain)"
imUxxXdeNglFMoKADW50,"Shito (Hot Pepper Sauce)"
inxBlZD8mAVO5JYaK7uG,"Palava Sauce"
irAj9BMKyAp1BD87Z7L8,"Isombe (Cassava Leaf Stew)"
jMxuq4dUXALyrAvWcoir,"Indomie and Egg"
jNj4z1PT2sbJXdcnsNi4,"Peppered Snail"
jONbiiOqOaKSaCjyiuDh,"Chakhchoukha"
jbYaci5mleSuEBqvFwrw,"Baghrir"
jlTRkHRG6RmWYJCOEXBl,"Kondowole (Cassava Nsima)"
jxpfS2J6y19ZvEIB8n9d,"Rolex (Chapati Egg Roll)"
jzxgxVeMdFgmR5kmB4Ir,"Calulu de Peixe"
kUDYjfPYUOYm2tsMInqs,"Benachin (One-Pot Rice)"
kUsKPKg340P2KsrxCYRE,"Alloco (Fried Plantain)"
kc2ENBBbh4Kad9l7m6yp,"Koshari"
kl3zwhqzfeINK8kJ26kK,"Bobotie"
l52il8Va4mUQleLDqTK0,"Taamiya (Egyptian Falafel)"
lF90DKG7z7MNumS8cjxS,"Mukimo"
lFQTlc72eubZEjl5UoWf,"Boli (Roasted Plantain)"
lHuG0CcilO7k2HA66a64,"Asida (Libyan)"
lfyPINKMAG2VFswPkd4v,"Sadza and Muriwo"
liIOKmsQcF5FskZVu2al,"Groundnut Sauce (Uganda)"
loPEVzmEREFADJTCmb7E,"Ghanaian Fried Rice"
mEbH4Lnczu3dbZtYbhrB,"Koshari"
mH8NmiblLX22qNZobzLK,"Injera and Firfir"
mLJkVSqI6FSGVXnkKMP7,"Caldo de Mancarra"
mQuNI0IWXG764Gcetn0Z,"Caril de Camarão"
mRmADv2SW59dQX5EEQEt,"Rougaille (Tomato Creole)"
mobWRPUdNEBY1gZpCy1k,"Abacha (African Salad)"
n0mf4yZ6LihpiD65ztO2,"Kesra (bread)"
n2NYj1Kl7iXBC7oS7AGS,"Ndolé and Plantain"
nCPPLiLT05GC8GyQsyo3,"Canjeero (Somali Pancake)"
nDR83yeiJYdWhe36VLQu,"Pilau (Kenyan Spiced Rice)"
nFPC3fkq7mhts412ObGA,"Harira"
nQHP6B5KnPegVz9RncAx,"Beans & Plantain (Ewa & Dodo)"
nrRTBdelzPtipSQlSRrV,"Ogbono Soup"
o0HBxJI76Mhque5X41cW,"Bread & Egg"
omU6xNl1HXNrWwyjouYO,"Kapana (Street Meat)"
pQjzRuSIln2CDen1nfch,"Garri and Groundnut"
puKlZgyaaBuj0PEb4YJS,"Miyan Taushe (Pumpkin Soup)"
qGtoC0necVKZM4aphiFW,"Langouste à la Vanille"
qTcT5sTVbkuJ3tsXO06X,"Makemba (Fried Plantain)"
r3eZTWaDTVP5uVyzCYS4,"Ojja (Tunisian Shakshuka)"
rDYjJ8HFvi7xGfXgKMux,"Isombe"
rPbsLhn9ncikUWwUJ9kT,"Beans & Plantain (Burundi Style)"
rxJfLTvvjoWtxPDKwLtG,"Dholl Puri"
sB4wXH3isaxm6hNkAQwT,"Chapati and Beans"
sMqU97r2Q5CXPKnZqhhu,"Vetkoek and Mince"
sQfBx0QtYlD6k8T9X77A,"Kenkey & Fried Fish"
sRR9GDhVChQbKXRUAKpZ,"Pap, Wors, and Chakalaka"
sW7Tma1Vgt63f7FZiDaf,"Native Jollof (Iwuk Edesi)"
t9iZNVdK9SsokuFKd7zZ,"Rfissa"
tJPrgint4TtslVqh758o,"Ângu de Banana"
tYp7zu03c5gTxdbfdssd,"Madora (Mopane Worms)"
tlEUsHjGC1jraly6ImiW,"Thiéboudienne"
tvVAFR5aQsl76BiIaG1F,"Sadza ne Nyama"
tz01CCGXuFryWSummVNu,"Okro Soup (Ila Asepo)"
u1aBwHLajyzeT1tF36uw,"Malawah"
u3VlTIRDhGQiSy3ZICKV,"Githeri"
uE4i9WX2dE1EyMiFv4pz,"Umngqusho (Samp and Beans)"
uOoeR5RFCuLqxwVTVEk4,"Asaro (food)"
uVWOD2kHku5WNVW0qp1w,"Ekuru with Stew"
ub8MYfTwR7ucMkpi42Vy,"Moambe Chicken (Poulet Moambe)"
ueqz5cAgfeH0wIv18RDT,"Chorba Frik (Freekeh Soup)"
uotvRvjVs561CLIr8D0q,"Skoudehkaris (Djibouti Spiced Rice)"
usMr4Ds1vHbVreB2aZ3C,"Kitfo (Ethiopian Steak Tartare)"
uwiHl0UV2YwXydhe7ZqZ,"Eru Soup"
uyBkHld5StVNJrIm61JL,"Ugali and Nyama Choma"
uyN4mma8i4Tqc4kvqLW8,"Yam Porridge (Asaro)"
vIYyuYiy2S8LYvP3mFel,"Oshifima with Omagungu"
vLQHUOqVtRKl1dxm76IW,"Papa (Lesotho Porridge)"
vQuz9ShJOW8oEiXAQ52y,"Kuli-kuli"
vWLiLUL1NiS9vKIsLuDr,"Kissar (Chadian Crêpe)"
vWfnXOx6W74zJxpvleef,"Chinchinga (Ghanaian Kebab)"
vdsoRnGIyNM0hO1oIHtE,"Thiéré (Couscous Sénégalais)"
vmUjHv52u8yAQadSLKhn,"Mahdjouba"
vuYSW75bLPkCPlsQ8ohp,"Xima and Caril de Amendoim"
w78ku72wmc6G6CmS2gBy,"Lablabi (Chickpea Soup)"
wSD69ss2Cx9WRUVFotal,"Beans Porridge"
wYuCSk620DrDYAxxHwCq,"Sisi Pelebe"
whn2QHHiqIkG2Yl7QSEh,"Abula (soup)"
xGbDVXeO59LZOcMIA07T,"Ofe Akwu (Banga Soup)"
xVz1LFHqusYxqPBHcIo8,"Ras el hanout"
xaYGBQI5JtkeSGZQvl7H,"Suya"
xppbYj1WaeHWuGsyaNjD,"Edikang Ikong"
xrbQ2pXtkjuXsjBxAW2J,"Bsisa"
yPPaypvK34PnrK63w5x4,"Kedjenou Chicken"
yPsT2xlSa4UAQfhiREHF,"Ogi (Pap) and Akara"
yVP6U7Vd38ZhC99fQY1L,"Liboke ya Mbisi"
yXRaY4hOmYmWrMipLaDH,"Sauce Graine (Palm Nut Soup)"
yaFyIPHmqklFDcGmUiYl,"Ugali and Sukuma Wiki"
ypIVXxXWK1V8TEdKnqkL,"Suqaar (Somali Sautéed Meat)"
yz9oW8mzQ6x1cUrhOSoi,"Brochettes (Congolese Kebab)"
z3kIC0YRlIiBveDMLpVZ,"Groundnut Soup"
zCMZGcK34FHOaYcrb1oj,"Wali wa Nazi (Coconut Rice)"
